,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,phnompenhpost.com,Cambodia,,$250+,"150,000+",,High,
,jx.sabay.com.kh,Cambodia,,$5000+,"20,000+",,Medium,
,acledabank.com.kh,Cambodia,,$250+,,"10,000+",Medium,
,popular.com.kh,Cambodia,,$0+,,,-,
,soyo.sabay.com,Cambodia,,$5000+,"20,000+",,-,
,smart.com.kh,Cambodia,,$1000+,500+,,Medium,
,health.com.kh,Cambodia,,$10+,500+,,-,
,metfone.com.kh,Cambodia,,$5000+,100+,,Medium,
,realestate.com.kh,Cambodia,,$50+,250+,,Medium,
,vtccomputers.com,Cambodia,,$10+,,,-,
,riich.me,Cambodia,,$250+,,,Medium,
,a-ycollection.com,Cambodia,,$0+,,,-,
,eurocham-cambodia.org,Cambodia,,$0+,,,-,
,365realty.asia,Cambodia,,$0+,,,-,
,homeliving.asia,Cambodia,$1k+,$0+,,,-,
,3h-agri.com,Cambodia,$1k+,$10+,,,-,
,richardsons.asia,Cambodia,,$0+,,,-,
,abbottfamily.com.kh,Cambodia,,$1000+,,,-,
,faceazure.com,Cambodia,,$250+,,,-,
,icf-wakepark.com,Cambodia,$22k+,$250+,,,-,
,ichtravel.com,Cambodia,$1k+,$10+,,,-,
,cellcard.com.kh,Cambodia,,$5000+,250+,,Medium,
,bluekoff.com,Cambodia,,$0+,,,-,
,ifinanceleasing.com.kh,Cambodia,,$10+,,,-,
,canadiabank.com.kh,Cambodia,,$100+,,,High,
,activerify.com,Cambodia,,$100+,500+,,-,
,daraventures.com.kh,Cambodia,$15k+,$100+,,,-,
,impact.com.kh,Cambodia,,$10+,,,-,
,indication.plus,Cambodia,,$10+,,,-,
,aforativemedia.com,Cambodia,,$10+,50+,,-,
,finatics.io,Cambodia,,$100+,,,-,
,4learn.co,Cambodia,$46k+,$2000+,,,-,
,firstclass.com.kh,Cambodia,,$100+,,,-,
,fitlabscambodia.com,Cambodia,,$0+,,,-,
,bakousystems.com,Cambodia,,$50+,,,-,
,bakousystems.com.kh,Cambodia,,$0+,,,-,
,instinct.edu.kh,Cambodia,,$0+,,,-,
,baltoat.com,Cambodia,,$500+,,,-,
,airapartments.asia,Cambodia,,$250+,,,-,
,airapartments.ru,Cambodia,,$10+,,,-,
